listing,price,brand,size
Vera Bradley Women's Blue Bayou Floral Print All in One Crossbody Wallet,20.0,Vera,
Stuart Weitzman Shiny Black Shoulder Bag,75.0,Stuart,
"MICHAEL KORS LARGE X CHAIN LOGO SHOULDER BAG BROWN
          
      NWT",158.0,MICHAEL,Large
"Dooney & Bourke Red Nylon Wayfarer Drawstring Purse NWT
          
      NWT",135.0,Dooney,
lululemon athletica Green and Black Logo Reusable Tote,15.0,lululemon,
"34th & Pine Floral and Sequin J Mini Canvas Tote Bag - set of 2
          
      NWT",20.0,34th,Mini
Stylish Black Handbag,10.0,Stylish,
Whiting and Davis Purse Vintage Made In USA Chain Mesh Envelope Purse Vintage,65.0,Whiting,
Orange Leather Handbag,135.0,Orange,
WOMENS TEXAS PURSE GRAPHIC POP HANDBAG STATE FLAG ICON,19.0,WOMENS,
Michael Kors White Pebbled Leather Crossbody Bag,60.0,Michael,
Calvin Klein Bronze Leather Clutch,55.0,Calvin,
"Brooklyn Bum bag // NWT
          
      NWT",28.0,Brooklyn,
"Coach NEW STILL IN PACKAGING Rowan Large Satchel In Signature Canvas With Charms
          
      NWT",595.0,Coach,Large
Montana West Brown Two Tone Western Hobo Vegan Leather Tote Shoulder Bag Purse,24.0,Montana,
Vintage Fabric Coated Handbag,60.0,Vintage,
Giani Bernini Nappa Leather Venice Crossbody,36.0,Giani,
"Monstera Leather Bag Charm Leather Purse Keychain NEW FAST SHIP
          
      NWT",20.0,Monstera,
Tommy Hilfiger Black and Cream Purse,20.0,Tommy,
NWOT Relic Green Pink Plaid Handbag Preppy Coastal Chic,29.0,NWOT,
Noelle Black and Gold Clutch with Patent Leather Finish,61.0,Noelle,
St. John’s Bay Embossed Leather Bag Black,24.0,St.,
Revue crochet clutch,20.0,Revue,
"Lassig Baby  3-in-1 Changing Bag - Glam Rosie Blue
          
      NWT",35.0,Lassig,
Chenille Mouse Initial Letter Fanny Pack Waterproof Crossbody Bag for Kids Women,35.0,Chenille,
Rachel Zoe Black Shoulder Bag Faux Leather Removable Strap Silver Hardware 2 Way,77.0,Rachel,
Hammitt Tom Hobo Raffia Bag with Black Leather Trim,400.0,Hammitt,
Gucci Marmont Belt Bag Red EUC,899.0,Gucci,
"🔥 HARD FIND🔥 Juicy Couture Pink Shoulder Bag and accessories. NWT HARD FIND
          
      NWT",125.0,🔥,
Michael Kors Large Leather Shoulder Bag With Gold Studs,64.0,Michael,Large
DIANE GAIL WOVEN GENUINE LEATHER SHOULDER BAG FTL-02-017,65.0,DIANE,
Moschino Boutique Dust Bag Drawstring,30.0,Moschino,
"🩷💛luluemon Everywhere Belt Bag 1L💜🩵
          
      NWT",50.0,🩷💛luluemon,
bag Replacement microfiber leather chain strap,17.0,bag,
Kate Spade Beige Leather Shoulder Bag,140.0,Kate,
CHANEL PARFUMS MAKEUP BAG,45.0,CHANEL,
"New eBay Open25 Swag - Two Large Bags, Water Bottle, Open25 Enamel Pin, Stickers
          
      NWT",24.0,New,Large
Patricia‎ Nash Cognac Brown Leather Tote With Crossbody Strap Coastal Grandma,90.0,Patricia‎,
Set of 4 - Purse set,30.0,Set,
Elliott Lucca Taupe Leather Satchel,33.0,Elliott,
"BURBERRY TB Monogram Croc Embossed Metalic Leather Wallet
          
      NWT",450.0,BURBERRY,
"Louis Vuitton Monogram Logo Scott Box In Plexiglass, Leather & Metal",1025.0,Louis,
Brand New Swissgear duffel bag,40.0,Brand,
Mary Kay Pink Ribbon Small Cosmetics Bag,13.0,Mary,Small
NWOT Carlos Santana Faux Leather Bag with Wristlet,39.0,NWOT,
"Ramla “Beverly Hills” Mosaic Bag – Handmade in Morocco • Pink/Gold•NWT/CHIPPED
          
      NWT",80.0,Ramla,
"Cazadores Tequila Teal and Red Canvas Tote NEW
          
      NWT",18.0,Cazadores,
Francesco Biasia Dark Brown Leather Messenger Bag,49.0,Francesco,
DOONEY BOURKE ⭐️  Florentine East West Satchel leather bag,150.0,DOONEY,
"Aimee Krestenberg Backpack Sling NEW
          
      NWT",95.0,Aimee,
Not Available,65.0,Not,
🍓GUCCI Abbey Canvas HandBag,520.0,🍓GUCCI,
"KARL LAGERFIELD Pastel Crossbody With coin Purse Combo, Perfect EASTER bag NWT
          
      NWT",180.0,KARL,
Elegant Gray Chain Shoulder Bag,25.0,Elegant,
Vintage Pelletteria Made in Italy Black Italian Leather Backpack,24.0,Vintage,
Coach Wallet - Crossbody Bag Quilted - Super practical Exterior pocket,54.0,Coach,
"NWT Vera Bradley Floral Orange Quilted Wallet Wristlet
          
      NWT",35.0,NWT,
Victoria's Secret Black and Glitter Tote,15.0,Victoria's,
Carlos Santana Black and Silver Chain Edge Wristlet.,25.0,Carlos,
"🆕 Lululemon Everywhere Belt Bag Velour Black Gold
          
      NWT",150.0,🆕,
ALL ORDERS $500 AN‎ UP ARE ATHENTICATED BY POSHMARK,999.0,ALL,
BRIGHTON Purse‎ Camille Black Nylon Ruched Shoulder Bag w/Rosette & Snakeskin,150.0,BRIGHTON,
GUCCI Dionysus Bamboo Top Handle Handbag Full Inclusion,1100.0,GUCCI,
Sanctuary Women’s Crossbody purse light brown. 100%leather magnetic top closure,22.0,Sanctuary,
Loungefly Disney Princess Side kicks Wallet,17.0,Loungefly,
Michael Kors Crossbody Bag- Preloved,60.0,Michael,
Pre-Loved Louis Vuitton Alma PM,900.0,Pre-Loved,
Lululemon Festival Bag 5L • Black/Gold • New,58.0,Lululemon,
"Christian Louboutin Multicolor Studded
Patent Leather Bifold card case holder",320.0,Christian,
"⭐🔥BUY NOW, PAY LATER!!!🔥⭐",500.0,⭐🔥BUY,
"MICHAEL KORS LG EW CROSSBODY & MD ZA CARD CASE SET
          
      NWT",211.0,MICHAEL,
Tory Burch Orange Leather Sunglasses Case Eyeglass Hard Case Very Good,35.0,Tory,
HAND PAINTED Woman's Hand bag Purse Multi Color Florida Beach Cruise Theme,26.0,HAND,
Kate Spade Metro Spade Large Pouch- Silver,36.0,Kate,Large
Michael Kors Metallic Gold Wristlet,22.0,Michael,
"Flap Top Shoulder Bag - Southwest Style - Ethnic Inspired Design - Lightweight
          
      Boutique",26.0,Flap,
Velvet Lined Wood Octagon box Purse hand bag Margaret Keane Big Eye   OOAK‎,265.0,Velvet,
💯Authentic MCM long Wallet 🍀,299.0,💯Authentic,
Cult Gaia Hot Pink Nika top handle bag,220.0,Cult,
Michael Kors Snake Print Clutch,42.0,Michael,
Dooney & Burke Hobo/Shoulder bag,149.0,Dooney,
"Kate Spade Newbury Lane Cammie Crossbody Bag in Rose Dust Saffiano Leather NWT
          
      NWT",178.0,Kate,
Arctic Sone Insulated Black Quilted Lunch Tote Bag,13.0,Arctic,
"Michael Kors Bedford Large Tote, excellent condition very minor wear",90.0,Michael,Large
Red patent Leather Lady Dior,2800.0,Red,
BVLGARI Serpenti Forever Continental wallet carnelian coral nappa leather $1000,695.0,BVLGARI,
"Michael Kors Mercer Medium Belted  Satchel Crossbody Bright Red
          
      NWT",138.0,Michael,Medium
Michael Kors Hamilton python-embossed leather satchel in green and black,114.0,Michael,
Calvin Klein Brown Monogram Logo Crossbody Bag Double Zip Purse,35.0,Calvin,
World Totes Reversible Tote Bag – 16” x 16” – Polka Dot & Brown Print,20.0,World,
"Furla Tan Suede Crossbody with Fringe
          
      NWT",191.0,Furla,
Latico Gray Leather Wristlet Wallet Pouch,16.0,Latico,
Harry Potter Hohwarts black‎ quilted wallet.,24.0,Harry,
NWOT American Express “Shop Small” Tote Bag,15.0,NWOT,Small
